Frequency,Force
6.28318530717959,0.241074620257991+-0.362833691629271i
12.5663706143592,-0.700350274343042+0.160140686187843i
18.8495559215388,-0.934919184406061+0.206589226845148i
25.1327412287183,0.46273104999662+0.391340829141173i
31.4159265358979,0.743300138856907+0.0100968730352655i
37.6991118430775,-0.3779766139009+-0.110093343713378i
43.9822971502571,0.0690676795944008+0.430934132799799i
50.2654824574367,-0.253900455281144+0.490242924487923i
56.5486677646163,0.164156018932327+0.565290746476336i
62.8318530717959,0.211928041847968+0.430351995352253i
69.1150383789754,0.00303608088211872+-0.881572911897136i
75.398223686155,-0.606174594665258+0.0397684097759411i
81.6814089933346,-0.557720020934291+0.486704392817365i
87.9645943005142,-0.808931269472981+0.545395242395154i
94.2477796076938,0.0823500281567413+-0.0276614241347112i
100.530964914873,-0.00412595093361765+0.672082251131923i
106.814150222053,-0.775020305883966+0.003076183879922i
113.097335529233,0.085432403258102+-0.544386294991901i
119.380520836412,-0.410970228590815+-0.418407593289877i
125.663706143592,0.0227543128882177+-0.0208657395381033i
131.946891450771,0.335893192699494+0.841986430948029i
138.230076757951,0.0340133118023211+0.00807158925116961i
144.51326206513,-0.211426408323629+-0.973017541322067i
150.79644737231,-0.0468734815928946+-0.0366488863562559i
157.07963267949,-0.314385802286502+-0.759890301303053i
163.362817986669,0.254327391083332+0.954131134402784i
169.646003293849,-0.0885991975550047+0.382741729682326i
175.929188601028,-0.456330492347247+-0.0411698057196104i
182.212373908208,-0.265761571936907+-0.321573956917731i
188.495559215388,0.958053716816869+-0.0862920765384355i
194.778744522567,0.0778077439568454+0.469312464337186i
201.061929829747,0.164970211594619+-0.282612559613699i
207.345115136926,-0.695468910269945+0.0549612581956696i
213.628300444106,0.556926571171258+-0.359778045639448i
219.911485751286,0.723361997528415+-0.645978712741739i
226.194671058465,-0.374765752383236+-0.748078447399721i
232.477856365645,0.811309962835088+0.0315698559156147i
238.761041672824,-0.757758047522287+-0.495170846282201i
245.044226980004,-0.17171120183167+0.896888247554166i
251.327412287183,-0.487881371962177+0.288277247749094i
257.610597594363,-0.402826928840209+0.069336677703669i
263.893782901543,-0.152792969260218+0.365343466426786i
270.176968208722,-0.334789283672815+-0.0106969996682708i
276.460153515902,-0.557999163947531+-0.0363406155911746i
282.743338823081,0.228010613762186+-0.460212184683659i
289.026524130261,-0.260435353528342+-0.34996066203262i
295.309709437441,-0.0105893003569608+-0.0630948999234477i
301.59289474462,0.71977261622138+-0.339809730385343i
307.8760800518,0.00830163685975269+-0.00621013026713229i
314.159265358979,0.335008183254642+0.00767069526969557i
320.442450666159,0.0402389557102855+0.0883061475481313i
326.725635973339,0.0970019279128377+-0.216009138407515i
333.008821280518,0.373522805897208+-0.0819304665626562i
339.292006587698,0.0559631654182717+-0.0562134152719401i
345.575191894877,0.133606776336197+-0.920564445387047i
351.858377202057,-0.14199445620549+0.345617532243811i
358.141562509236,-0.277318409919632+-0.93694858824453i
364.424747816416,-0.0596254179717565+0.134921026400044i
370.707933123596,0.0197510016549567+0.0539909821462307i
376.991118430775,0.475287027592683+-0.155923616366766i
383.274303737955,-0.242487877030369+-0.263025654542196i
389.557489045134,-0.0246540980443444+-0.10120832418816i
395.840674352314,0.601115101812434+-0.405914870435148i
402.123859659494,-0.272393338171285+-0.70756810927976i
408.407044966673,-0.578157141875429+-0.7676556791562i
414.690230273853,-0.0595449551286491+-0.0767443346620081i
420.973415581032,0.687005183653122+0.0979839732621488i
427.256600888212,-0.2736242573153+0.829471044786456i
433.539786195391,0.664725433551622+-0.137732820243818i
439.822971502571,0.1861137284346+-0.669447092813835i
446.106156809751,0.486646621794281+-0.100162415454768i
452.38934211693,0.0317327148682542+0.0389568165004448i
458.67252742411,-0.0774923948242399+0.0671515787154157i
464.955712731289,0.754822445500658+0.0474844257622068i
471.238898038469,-0.0994333888008934+0.0950071850225899i
477.522083345649,0.161789569169444+0.104999797032424i
483.805268652828,-0.0131609215366863+-0.226483989863351i
490.088453960008,0.382226264924506+-0.0272993529436407i
496.371639267187,0.0597395405043224+0.023863421640619i
502.654824574367,-0.178870884006285+-0.672488833570795i
508.938009881546,-0.132941837690262+0.134043407991215i
515.221195188726,0.24871870848263+-0.160366113887535i
521.504380495906,0.670392824409367+0.595764888772404i
527.787565803085,-0.275232451731377+-0.147352029980158i
534.070751110265,-0.0429720737173039+0.224620922748065i
540.353936417444,0.80241154744992+-0.179883600245517i
546.637121724624,0.191262856328322+-0.372149715400391i
552.920307031804,0.670093203290843+0.614389928967289i
559.203492338983,0.0593591331159305+-0.117265528745963i
565.486677646163,0.440879959638004+0.216721856156782i
571.769862953342,0.108024447778181+-0.301038498162434i
578.053048260522,0.47851949717475+-0.0975831813994064i
584.336233567701,-0.130165694071921+-0.459600695381974i
590.619418874881,-0.25374084546254+-0.474989398154318i
596.902604182061,-0.575382250134796+-0.299318686403562i
603.18578948924,-0.548884052809002+0.514376969159276i
609.46897479642,-0.0714563487920363+0.231499400791631i
615.752160103599,-0.351119334990886+-0.121517519459265i
622.035345410779,0.152769664382188+0.729832467650332i
628.318530717959,0.179636420700864+-0.877316640730082i
634.601716025138,0.56878924113587+0.747988149295486i
640.884901332318,-0.297752665433313+0.719226041893529i
647.168086639497,-0.4269929189308+0.126279878780949i
653.451271946677,-0.818351296004217+0.323138999782327i
659.734457253857,-0.104293953126414+0.302232217009422i
666.017642561036,0.437304927220575+0.377184204022615i
672.300827868216,0.0145612980790761+-0.0962612529410713i
678.584013175395,0.482869123895659+-0.444619811635989i
684.867198482575,-0.889242895680783+-0.332989673413103i
691.150383789755,0.632606090526125+-0.0322569643606651i
697.433569096934,-0.33419423639534+0.904872130136211i
703.716754404114,0.13931111233464+0.50182461101632i
709.999939711293,0.720145479410212+-0.0336751779306006i
716.283125018473,0.0551270526837179+0.152233739394423i
722.566310325652,-0.260060446490391+0.232974181520488i
728.849495632832,0.506824593236544+-0.0747309442247712i
735.132680940012,-0.0082700054877694+-0.236599121073974i
741.415866247191,-0.0629581088198055+-0.152908377377695i
747.699051554371,0.200954697662376+-0.467799074279337i
753.98223686155,0.256902357007532+0.551386730718049i
760.26542216873,-0.0626394305745273+-0.0069956600169754i
766.54860747591,-0.235150669491972+-0.258140414523399i
772.831792783089,-0.109379997707661+-0.21203561922955i
779.114978090269,-0.0422643532698376+-0.0788909154880912i
785.398163397448,0.115235615555369+0.228362927577679i
791.681348704628,-0.547006257572494+0.827799023613487i
797.964534011807,0.277181000878844+0.489197457055614i
804.247719318987,0.00612970596617714+0.021865737422099i
810.530904626167,-0.0911884700253606+0.103586207108161i
816.814089933346,-0.0589834046715804+0.0159981929933932i
823.097275240526,0.505665403798857+0.674135707002896i
829.380460547705,0.772301292260416+0.421444127665766i
835.663645854885,0.35331806485944+0.217579243135275i
841.946831162065,0.00173934995754411+0.00390799876108783i
848.230016469244,0.569521047558765+0.422453457329446i
854.513201776424,0.0391264581294804+-0.256838678375582i
860.796387083603,0.448616423889942+-0.102721210045539i
867.079572390783,0.286776866514984+0.0651446670838116i
873.362757697962,0.232413583316586+-0.169071663328235i
879.645943005142,-0.156167918223698+0.075146147787804i
885.929128312322,-0.540100902159115+-0.0390917449006656i
892.212313619501,0.282705969250542+-0.575002355352214i
898.495498926681,-0.329989875395802+0.344475701076689i
904.77868423386,0.780869970799838+0.367586082715157i
911.06186954104,-0.0570937468322218+-0.298559872827333i
917.34505484822,-0.142331555042904+-0.855544510069555i
923.628240155399,0.219522064263704+-0.0285744682290512i
929.911425462579,-0.401205736557324+-0.666979087211405i
936.194610769758,-0.972089545351178+0.162877928743635i
942.477796076938,0.0886289910516888+-0.0105495104893315i
948.760981384117,-0.776248353865114+0.0449285807149429i
955.044166691297,-0.156809388650347+-0.951396090161657i
961.327351998477,-0.313337594532992+0.125556686988137i
967.610537305656,0.838768468323685+-0.199841405343967i
973.893722612836,-0.366486274993042+0.270141153690543i
980.176907920015,0.210276081954611+-0.296955067685063i
986.460093227195,-0.0397180201180866+-0.0720242349051819i
992.743278534375,-0.0268818491178812+-0.887413478689605i
999.026463841554,0.225351850792585+0.517153060953286i
1005.30964914873,-0.642590412521614+0.190058305738439i
1011.59283445591,0.00456499356153984+0.41193961176783i
1017.87601976309,-0.124712477626557+-0.681596727705139i
1024.15920507027,-0.212808792834283+-0.552048721373447i
1030.44239037745,-0.180748480624634+-0.512777850555618i
1036.72557568463,-0.187133133828362+0.392981764957275i
1043.00876099181,0.781127378847797+-0.407167030454957i
1049.29194629899,-0.595197507138989+0.264400753389074i
1055.57513160617,-0.0223662479790496+-0.337496737198022i
1061.85831691335,0.851734076264232+0.49134769181523i
1068.14150222053,0.279631878653465+-0.149173937912709i
1074.42468752771,-0.00482966193153675+0.0223947434942644i
1080.70787283489,0.593144196724821+-0.417312261699552i
1086.99105814207,0.522714774697392+-0.14121818351055i
1093.27424344925,-0.146494307872478+0.0568729332253527i
1099.55742875643,-0.6713362072631+0.298856852032206i
1105.84061406361,0.0555051838468203+-0.179485436668919i
1112.12379937079,0.0309806956872624+-0.0905435140689134i
1118.40698467797,0.363754442850517+0.65557193153357i
1124.69016998515,-0.633630766355957+0.341053157771584i
1130.97335529233,0.182224717945166+-0.0798710386411717i
1137.25654059951,0.279347483945396+0.496744432062883i
1143.53972590668,-0.402566181656827+-0.487339007953283i
1149.82291121386,0.295171502778419+0.0454613934917706i
1156.10609652104,0.392948978962596+-0.435449282929989i
1162.38928182822,-0.0184715621275718+0.0488290805968326i
1168.6724671354,-0.213284866196225+-0.157306367501047i
1174.95565244258,0.289419907580848+0.0636227151905944i
1181.23883774976,-0.25645674015969+-0.141591441969374i
1187.52202305694,-0.123180201259012+0.042356729293429i
1193.80520836412,-0.149625798906913+0.741923807694032i
1200.0883936713,0.0793326004033714+0.241890481008117i
1206.37157897848,0.229855631185213+-0.606232937577365i
1212.65476428566,-0.742762015104066+-0.154298173605015i
1218.93794959284,0.157257473306192+0.0402750772817322i
1225.22113490002,0.0911459695780065+0.821723141396149i
1231.5043202072,-0.53818121600056+0.00959251246085979i
1237.78750551438,-0.238122933039532+-0.614160350514129i
1244.07069082156,-0.787629412702361+0.376276119585699i
1250.35387612874,-0.0994456033927047+0.0150617486637494i
1256.63706143592,-0.231977828225737+0.49759120112871i
1262.9202467431,-0.16035387466999+-0.122753092127465i
1269.20343205028,0.543288418253565+-0.509270531128963i
1275.48661735746,-0.217619432355031+-0.143560619748875i
1281.76980266464,-0.329378794351622+-0.015030054638252i
1288.05298797182,0.692969225103201+-0.681989162746891i
1294.33617327899,-0.14061445036268+-0.474408912994634i
1300.61935858617,-0.393783284941841+-0.0550965323377244i
1306.90254389335,-0.189714191605226+0.499074617162929i
1313.18572920053,0.204442103657817+0.0747278656780977i
1319.46891450771,0.172086230413141+0.64053569918598i
1325.75209981489,-0.543164927040094+-0.0842154183901577i
1332.03528512207,-0.123873531269207+0.119650055026639i
1338.31847042925,-0.221130082217127+0.501241874996058i
1344.60165573643,0.553986601826498+0.199606224413521i
1350.88484104361,-0.0109370324017374+0.0385264250786298i
1357.16802635079,-0.554202060064587+0.664231332182457i
1363.45121165797,-0.0619595708896792+-0.0844449486383698i
1369.73439696515,0.266889885768926+0.793005584453479i
1376.01758227233,0.564358484138237+0.350608760328884i
1382.30076757951,0.208837323975538+-0.0400753237046271i
1388.58395288669,0.416406059564668+-0.109826498738874i
1394.86713819387,0.913733204008115+0.152884877449823i
1401.15032350105,-0.465003599631875+0.265013112587513i
1407.43350880823,-0.828443138545508+-0.0515480169505619i
1413.71669411541,-0.189355640129647+-0.0241700442024905i
1419.99987942259,0.437225883609332+-0.350128062147626i
1426.28306472977,0.280840615412657+0.0732707996172094i
1432.56625003695,-0.342649308307558+0.410095218477495i
1438.84943534413,0.833314967458896+0.513220021115758i
1445.1326206513,0.671080206333031+-0.458760292904706i
1451.41580595848,-0.283708461730908+-0.154057146706876i
1457.69899126566,0.707883370565964+0.360136934547935i
1463.98217657284,-0.581744213452336+-0.127332575658391i
1470.26536188002,0.0750326033468746+0.187615527068501i
1476.5485471872,0.00638599660066205+0.000127471614336238i
1482.83173249438,-0.376060845415646+-0.633506094300655i
1489.11491780156,-0.541648000846687+-0.298635636090207i
1495.39810310874,-0.93457609815942+-0.247380456020936i
1501.68128841592,-0.366562207158336+0.273948226272843i
1507.9644737231,-0.0321129610619439+0.131717266952687i
1514.24765903028,-0.431707707047299+-0.169815020331059i
1520.53084433746,-0.266197229557884+-0.782154699395982i
1526.81402964464,0.163085551812664+0.272067587875686i
1533.09721495182,0.218837402669223+-0.526284699235886i
1539.380400259,-0.321649762708887+-0.196956019128017i
1545.66358556618,-0.736027336385074+-0.491900869252352i
1551.94677087336,-0.219246575643247+-0.169571147995087i
1558.22995618054,0.378918065108315+0.315390162764188i
1564.51314148772,0.572345546764073+0.285170975577876i
1570.7963267949,-0.374166092852085+0.890737601003949i
1577.07951210208,-0.869730644668288+0.281589326798115i
1583.36269740926,-0.105537028732684+-0.0856194327416405i
1589.64588271644,-0.011244489489362+-0.0311617239571989i
1595.92906802361,-0.0798262941688089+0.675449399409504i
1602.21225333079,0.383117669494388+-0.33203900804665i
1608.49543863797,-0.0530345611452143+-0.0468964429990731i
1614.77862394515,-0.656033151088792+0.714560364348643i
1621.06180925233,0.240458149264611+-0.492600832019059i
1627.34499455951,-0.885273170594026+-0.383897021995782i
1633.62817986669,0.0403078163697259+0.0344922090979136i
1639.91136517387,-0.903335948431159+-0.277782111595079i
1646.19455048105,-0.0355148300274884+-0.522643949297143i
1652.47773578823,0.286877721982145+0.13536668371922i
1658.76092109541,0.0148652032868757+0.0024834218764993i
1665.04410640259,-0.88998351192959+0.0287029441669014i
1671.32729170977,0.870729622768463+0.26345029386387i
1677.61047701695,0.551047126928091+0.182062058431505i
1683.89366232413,0.0584631189590248+0.044518766227113i
1690.17684763131,-0.36441909254942+0.772750299269637i
1696.46003293849,0.14238290368634+0.307579612504953i
1702.74321824567,-0.482461138036318+-0.0390670484736836i
1709.02640355285,0.333147135392551+0.577135445899211i
1715.30958886003,0.00801792406726656+-0.0256238208985322i
1721.59277416721,-0.0439141585803529+-0.0608066479677173i
1727.87595947439,0.662966081028769+-0.121138861913878i
1734.15914478157,0.100032050107562+0.676834975777663i
1740.44233008875,-0.0109296425037719+0.726673209590678i
1746.72551539593,-0.0167119026975029+0.0628032660924746i
1753.0087007031,0.0387282655566214+-0.156677673022686i
1759.29188601028,-0.216213694493061+-0.203141723220482i
1765.57507131746,-0.106091117068983+0.743325730725384i
1771.85825662464,-0.72841316852424+0.133691966281106i
1778.14144193182,0.0439277162580788+-0.707842642208985i
1784.424627239,0.079053169152775+-0.0684866522378455i
1790.70781254618,0.233166130388598+-0.127923935392794i
1796.99099785336,0.535385210970774+-0.535135956470546i
1803.27418316054,-0.250010334732416+-0.393790570574887i
1809.55736846772,-0.601673251508119+0.088375260266099i
1815.8405537749,0.046551993340869+-0.0323986475503822i
1822.12373908208,-0.0652638272901913+-0.0945316300799136i
1828.40692438926,-0.257744048767634+0.585552931014094i
1834.69010969644,0.114519148898003+0.00639155014831418i
1840.97329500362,-0.119953276569703+0.448203385129088i
1847.2564803108,-0.602914097250906+0.494822273628193i
1853.53966561798,-0.287013241159627+-0.165521046142733i
1859.82285092516,0.029628542489051+-0.192216346827355i
1866.10603623234,0.692831969870336+-0.379368754916473i
1872.38922153952,0.0305269083362409+0.976214894880436i
1878.6724068467,0.00034394874448867+0.00129551439654426i
1884.95559215388,-0.14660618606555+0.835590729657629i
1891.23877746106,0.282760149514996+0.836563547977799i
1897.52196276824,0.314475979765812+0.575803309190884i
1903.80514807541,0.824224251315256+0.20614569041851i
1910.08833338259,0.44426998526909+-0.135818837343279i
1916.37151868977,0.093320141042871+0.0756723314055507i
1922.65470399695,-0.0999736284254824+0.566715798823462i
1928.93788930413,-0.048344969605221+0.0640073359985783i
1935.22107461131,-0.367441566288438+-0.493141515123824i
1941.50425991849,0.0540337918636659+-0.36550414045114i
1947.78744522567,-0.144551968413902+-0.0310128005422998i
1954.07063053285,0.677480597521169+0.367171483889041i
1960.35381584003,-0.291367375892428+0.0721950691982361i
1966.63700114721,-0.389476147454308+-0.481111298925589i
